Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
Drama,Movie,La fin du règne animal,2003,12.0,tt0336439
Drama,Movie,Filles uniques,2003,6.0,tt0336432
Drama,Movie,Ilusión de movimiento,2003,2.0,tt0336622
Drama,Movie,Struggle,2003,6.0,tt0337250
Drama,Movie,Emile,2004,1.0,tt0338001
Drama,Movie,Blind Horizon,2004,3.0,tt0337881
Drama,Movie,The Egoists,2003,4.0,tt0337614
Drama,Movie,Calendar Girls,2004,1.0,tt0337909
Drama,Movie,Grand Theft Parsons,2004,3.0,tt0338075
Drama,Movie,Nicotina,2003,10.0,tt0337930
Drama,Movie,Ghost Rock,2003,8.0,tt0337626
Drama,Movie,Something's Gotta Give,2004,2.0,tt0337741
Drama,Movie,Les invasions barbares,2004,5.0,tt0338135
Drama,Movie,Pas de repos pour les braves,2003,11.0,tt0339553
Drama,Movie,L'esquive,2004,1.0,tt0338977
Drama,Movie,Talaash: The Hunt Begins...,2003,1.0,tt0338477
Drama,Movie,Klepto,2006,6.0,tt0338177
Drama,Movie,Mosku - lajinsa viimeinen,2003,2.0,tt0340253
Drama,Movie,The Beat,2005,8.0,tt0337857
Drama,Movie,Blackball,2003,9.0,tt0337879
Drama,Movie,Fast Food High,2003,2.0,tt0340109
Drama,Movie,Raja,2003,9.0,tt0339558
Drama,Movie,Ashes and Sand,2003,5.0,tt0337574
Drama,Movie,Love Don't Cost a Thing,2003,12.0,tt0337592
Drama,Movie,The Snow Walker,2004,12.0,tt0337721
Drama,Movie,The Ugly One: Thor's Revenge,2003,9.0,tt0339834
Drama,Movie,Baghban,2003,10.0,tt0337578
Drama,Movie,Behind the Broken Words,2003,1.0,tt0338774
Drama,Movie,Betraying Reason,2003,7.0,tt0338374
Drama,Movie,Wake,2003,11.0,tt0338543
Drama,Movie,Ondskan,2003,9.0,tt0338309
Drama,Movie,Errance,2003,10.0,tt0338975
Drama,Movie,De passievrucht,2003,12.0,tt0340285
Drama,Movie,Midsommer,2003,2.0,tt0339385
Drama,Movie,Histoire de Marie et Julien,2003,11.0,tt0339357
Drama,Movie,Tyubeu,2003,6.0,tt0339824
Drama,Movie,Gang of Roses,2019,9.0,tt0339091
Drama,Movie,Jaal: The Trap,2003,7.0,tt0340178
Drama,Movie,Fools,2003,2.0,tt0339015
Drama,Movie,Konjanik,2003,7.0,tt0339266
Drama,Movie,Pellam Oorelithe,2003,1.0,tt0339504
Drama,Movie,The Emperor's Wife,2004,1.0,tt0340096
Drama,Movie,Hey Mr DJ,2003,10.0,tt0339144
Drama,Movie,Profesionalac,2003,5.0,tt0339535
Drama,Movie,Gangotri,2003,3.0,tt0340122
Drama,Movie,Ganz und gar,2003,6.0,tt0338052
Drama,Movie,In Hell,2003,8.0,tt0339135
Drama,Movie,The Skin Horse,2013,7.0,tt0339695
Drama,Movie,Dédales,2003,9.0,tt0340086
Drama,Movie,Stuey,2003,5.0,tt0338467
Drama,Movie,Alexandra's Project,2003,11.0,tt0338706
Drama,Movie,Season of Youth,2003,3.0,tt0338419
Drama,Movie,3 Deewarein,2003,8.0,tt0338490
Drama,Movie,"Se til venstre, der er en svensker",2003,1.0,tt0338418
Drama,Movie,When Zachary Beaver Came to Town,2003,10.0,tt0338552
Drama,Movie,Inquiétudes,2004,2.0,tt0339204
Drama,Movie,Palabras encadenadas,2003,4.0,tt0339489
Drama,Movie,Judge Koan,2003,1.0,tt0338166
Drama,Movie,Headrush,2003,9.0,tt0339111
Drama,Movie,Skagerrak,2003,3.0,tt0338440
Drama,Movie,Screen Door Jesus,2003,3.0,tt0339638
Drama,Movie,Jericho Mansions,2003,9.0,tt0338159
Drama,Movie,The Statement,2004,2.0,tt0340376
Drama,Movie,L'outremangeur,2003,7.0,tt0339482
Drama,Movie,Twist,2005,9.0,tt0339827
