Norman Siopis,No data,"['Equilibria', 'Serie de TV', 'Serie de TV']","['Producción', 'Guion', 'Reparto']",Sin oscar
Jack Betts,1929,[''],['Reparto'],Sin Oscar
Paolo Cascardo,1972,[''],"['Edición', 'Edición', 'Producción']",Sin Oscar
Tanya Allen,1975,[''],['Reparto'],Sin Oscar
Willem Dafoe,1955,[''],"['Reparto', 'Producción', 'Guion']",Nominado para 4 premios Óscar
Francisco Salazar,No data,"['Nowhere', 'Adrift', '2015', '2018']","['Producción', 'Guion', 'Dirección']",Sin Oscar
Martin Goeres,1984,[''],"['Especialistas', 'Efectos especiales', 'Dirección de la segunda unidad o asistencia a dirección']",Sin Oscar
Hiroyuki Ikeuchi,1976,[''],"['Reparto', 'Dirección']",Sin oscar
Elizabeth Ávila,No data,"['Las lloronas', 'Cuando llega el amor', '1990', 'Estrella', 'Serie de TV']","['Reparto', 'Equipos adicionales']",Sin oscar
Nikola Hejko,1960,"['Utoli moya pechali', 'Nemci za Uralem', '7,1', '7,8']","['Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Dirección']",Sin oscar
Emiko Fuku,No data,"['Ghost in the Shell 2: Innocence', 'Samurai Champloo', '2004 • 1 episodio', 'Woman A(voz)']",['Reparto'],Sin oscar
Bree Turner,1977,[''],"['Reparto', 'Equipos adicionales']",Sin Oscar
Andisheh Fouladvand,No data,[''],"['Reparto', 'Banda sonora']",Sin oscar
Yong Oh,No data,"['Confession of Murder', 'Endemoniada', 'Samaritan Girl', 'Sesang Eodiedo Eobneun Chakhan Namja', '2012 • 19 episodios']",['Reparto'],Sin oscar
Mike Shorey,No data,"['Coach Carter', 'Una pandilla de altura', 'The Brewster Project']","['Reparto', 'Banda sonora']",Sin oscar
Yann Collette,1956,"['La daga en el corazón', 'En guardia!', 'Immortal (Ad Vitam)', ""Alésia, le rêrve d'un roi nu""]",['Reparto'],Sin Oscar
Lihong Li,No data,"['Ri guang zhi xia', '2015']",['Reparto'],Sin oscar
Jim Verraros,1983,[''],"['Reparto', 'Banda sonora']",Sin oscar
Albert Jones,No data,[''],['Reparto'],Sin oscar
Hediyeh Tehrani,1972,[''],"['Reparto', 'Diseño de vestuario', 'Producción']",Sin Oscar
Scott Caan,1976,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
Tara Taylor,No data,"['Confessions in B-Flat', 'Amber', ""Annie's Friend"", 'Various']","['Reparto', 'Casting', 'Producción']",Sin oscar
Alberto San Juan,1968,[''],"['Reparto', 'Guion', 'Equipos adicionales']",Sin Oscar
Luis Angel Batista,No data,"['Entonces Nosotros', 'Taita Boves', 'Enredados, La confusión', 'La boda del tigre']","['Edición', 'Cámara y electricidad', 'Animación']",Sin oscar
Jacqueline Bowman,No data,"['Una por una', 'After the Apocalypse', 'Unsavory Characters', 'This Is Not a Film']","['Reparto', 'Producción', 'Equipos adicionales']",Sin oscar
Gilles Pecqueux,No data,['Nuestra música'],['Reparto'],Sin oscar
Olga Miroshnikova,No data,"['Privet, mama', '6,3', '7,4', '6,5']",['Reparto'],Sin oscar
Sophiya Haque,1971,[''],['Reparto'],Sin oscar
Kenneth Welsh,1942,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Thomas Bronzini de Caraffa,No data,"['Una semana en Córcega', 'Itinéraire bis', 'Una casa en Córcega', 'Respiro']",['Reparto'],Sin oscar
Borbála Derzsi,No data,['Másnap'],['Reparto'],Sin oscar
Xhilda Lapardhaja,1982,"['Go Go Tales', 'De Reditu (Il ritorno)', 'Prima del tramonto', 'Balletto di guerra']","['Reparto', 'Dirección de la segunda unidad o asistencia a dirección']",Sin oscar
Chloé Lambert,1973,[''],['Reparto'],Sin Oscar
Kirsten Olesen,1949,"['Honning måne', 'Elise', 'Springflod', 'Matador', '1978–1982 • 23 episodios']",['Reparto'],Sin Oscar
Juca de Oliveira,1935,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
M.S. Narayana,1951,[''],"['Reparto', 'Dirección', 'Música']",Sin Oscar
Christopher Zapatier,No data,"['Alone and Restless', 'S.O.B.: Socially Offensive Behavior', '2007 • 1 episodio', 'Cocky Trainee']",['Reparto'],Sin oscar
Cindy Wolfe,No data,"['The Kids in the Hall: Comedy Punks', 'Gordon Lightfoot: If You Could Read My Mind', 'Leslie, My Name Is Evil', 'CX2: The Movie']","['Equipos adicionales', 'Producción', 'Reparto']",Sin Oscar
Blerim Shatri,No data,['Yugotrip'],['Reparto'],Sin oscar
John Bluthal,1929,[''],"['Reparto', 'Guion', 'Banda sonora']",Sin oscar
Daniel de Oliveira,1977,[''],"['Reparto', 'Música', 'Banda sonora']",Sin Oscar
Geoffrey Rush,1951,[''],"['Reparto', 'Producción', 'Guion']",Ganó 1 premio Óscar
Orlagh Cassidy,1968,"['Beach House', 'Billions', '2016 • 1 episodio', '2014', 'Mrs. Lawson']","['Reparto', 'Equipos adicionales']",Sin Oscar
Helge Lang,1952,"['Archiv des Todes', '1980 • 1 episodio', '2004', 'Helmut']",['Reparto'],Sin oscar
Mandy Moore,1984,[''],"['Reparto', 'Guion', 'Producción']",Nominado para 1 premio Primetime Emmy
