,fecha,num_cancelados,num_no_cancelados,tasa
216,17-2-2016,173,70,0.71
217,17-2-2017,70,122,0.36
218,17-3-2016,55,124,0.31
219,17-3-2017,45,92,0.33
220,17-4-2016,50,94,0.35
221,17-4-2017,47,109,0.3
222,17-5-2016,54,147,0.27
223,17-5-2017,45,105,0.3
224,17-6-2016,144,135,0.52
225,17-6-2017,110,107,0.51
226,17-7-2015,44,97,0.31
227,17-7-2016,42,82,0.34
228,17-7-2017,69,109,0.39
229,17-8-2015,69,99,0.41
230,17-8-2016,53,88,0.38
231,17-8-2017,82,103,0.44
232,17-9-2015,176,129,0.58
233,17-9-2016,30,89,0.25
234,18-1-2016,28,49,0.36
235,18-1-2017,59,125,0.32
236,18-10-2015,19,95,0.17
237,18-10-2016,37,86,0.3
238,18-11-2015,11,152,0.07
239,18-11-2016,71,126,0.36
240,18-12-2015,5,40,0.11
241,18-12-2016,10,50,0.17
242,18-2-2016,10,68,0.13
243,18-2-2017,36,85,0.3
244,18-3-2016,77,106,0.42
245,18-3-2017,29,82,0.26
246,18-4-2016,46,159,0.22
247,18-4-2017,42,83,0.34
248,18-5-2016,48,83,0.37
249,18-5-2017,51,114,0.31
250,18-6-2016,48,84,0.36
251,18-6-2017,51,86,0.37
252,18-7-2015,69,73,0.49
253,18-7-2016,57,125,0.31
254,18-7-2017,44,98,0.31
255,18-8-2015,38,64,0.37
256,18-8-2016,67,123,0.35
257,18-8-2017,76,98,0.44
258,18-9-2015,173,126,0.58
259,18-9-2016,42,128,0.25
260,19-1-2016,28,105,0.21
261,19-1-2017,18,86,0.17
262,19-10-2015,58,166,0.26
263,19-10-2016,36,79,0.31
264,19-11-2015,11,42,0.21
265,19-11-2016,35,96,0.27
266,19-12-2015,30,50,0.38
267,19-12-2016,26,66,0.28
268,19-2-2016,67,147,0.31
269,19-2-2017,25,97,0.2
270,19-3-2016,87,117,0.43
271,19-3-2017,17,113,0.13
272,19-4-2016,82,77,0.52
273,19-4-2017,28,106,0.21
274,19-5-2016,104,157,0.4
275,19-5-2017,159,87,0.65
276,19-6-2016,31,83,0.27
277,19-6-2017,69,103,0.4
278,19-7-2015,17,32,0.35
279,19-7-2016,27,74,0.27
280,19-7-2017,22,71,0.24
281,19-8-2015,8,57,0.12
282,19-8-2016,67,85,0.44
283,19-8-2017,75,100,0.43
284,19-9-2015,73,113,0.39
285,19-9-2016,82,135,0.38
286,2-1-2016,48,113,0.3
287,2-1-2017,37,111,0.25
288,2-10-2015,20,169,0.11
289,2-10-2016,37,106,0.26
290,2-11-2015,18,50,0.26
291,2-11-2016,27,109,0.2
292,2-12-2015,3,51,0.06
293,2-12-2016,75,116,0.39
294,2-2-2016,15,46,0.25
295,2-2-2017,27,83,0.25
296,2-3-2016,37,114,0.25
297,2-3-2017,125,169,0.43
298,2-4-2016,31,65,0.32
299,2-4-2017,20,71,0.22
300,2-5-2016,77,173,0.31
301,2-5-2017,36,126,0.22
302,2-6-2016,113,131,0.46
303,2-6-2017,95,133,0.42
304,2-7-2015,45,33,0.58
305,2-7-2016,52,80,0.39
306,2-7-2017,44,88,0.33
307,2-8-2015,8,41,0.16
308,2-8-2016,42,88,0.32
309,2-8-2017,44,100,0.31
