,adr,num_cancelados,num_no_cancelados,tasa
893,91.33,8,12,0.4
894,91.35,1,2,0.33
895,91.38,3,14,0.18
896,91.4,1,3,0.25
897,91.44,3,3,0.5
898,91.45,1,6,0.14
899,91.48,1,20,0.05
900,91.5,12,38,0.24
901,91.51,1,7,0.12
902,91.58,1,7,0.12
903,91.6,8,13,0.38
904,91.63,2,5,0.29
905,91.67,4,16,0.2
906,91.68,2,2,0.5
907,91.8,51,103,0.33
908,91.85,6,6,0.5
909,91.93,2,6,0.25
910,92.0,62,154,0.29
911,92.03,1,1,0.5
912,92.1,2,15,0.12
913,92.14,2,1,0.67
914,92.17,1,15,0.06
915,92.25,2,3,0.4
916,92.28,3,11,0.21
917,92.29,1,2,0.33
918,92.31,1,2,0.33
919,92.33,1,3,0.25
920,92.4,5,30,0.14
921,92.48,2,1,0.67
922,92.5,6,15,0.29
923,92.55,1,5,0.17
924,92.6,1,1,0.5
925,92.63,2,3,0.4
926,92.65,11,37,0.23
927,92.67,2,7,0.22
928,92.7,4,4,0.5
929,92.75,1,2,0.33
930,92.8,1,4,0.2
931,92.82,2,2,0.5
932,92.83,2,4,0.33
933,92.85,1,2,0.33
934,92.86,1,4,0.2
935,92.88,3,1,0.75
936,92.95,1,2,0.33
937,93.0,39,187,0.17
938,93.06,1,2,0.33
939,93.08,10,11,0.48
940,93.09,1,4,0.2
941,93.15,16,1,0.94
942,93.17,1,7,0.12
943,93.29,2,1,0.67
944,93.3,4,5,0.44
945,93.33,4,21,0.16
946,93.38,5,5,0.5
947,93.5,18,40,0.31
948,93.55,1,1,0.5
949,93.57,3,2,0.6
950,93.6,153,129,0.54
951,93.64,1,3,0.25
952,93.65,3,3,0.5
953,93.67,1,5,0.17
954,93.75,2,8,0.2
955,93.78,2,5,0.29
956,93.88,1,1,0.5
957,93.9,3,1,0.75
958,93.94,2,1,0.67
959,93.96,1,1,0.5
960,94.0,16,116,0.12
961,94.05,8,4,0.67
962,94.1,1,3,0.25
963,94.16,1,1,0.5
964,94.2,2,3,0.4
965,94.24,1,1,0.5
966,94.25,2,7,0.22
967,94.29,2,4,0.33
968,94.33,2,2,0.5
969,94.35,10,17,0.37
970,94.36,1,5,0.17
971,94.4,3,6,0.33
972,94.5,224,283,0.44
973,94.59,1,2,0.33
974,94.62,2,1,0.67
975,94.63,1,1,0.5
976,94.78,4,1,0.8
977,94.8,6,16,0.27
978,94.86,3,6,0.33
979,94.88,1,1,0.5
980,94.95,1,10,0.09
981,94.99,2,3,0.4
982,95.0,676,934,0.42
983,95.02,2,1,0.67
984,95.04,1,4,0.2
