tt0291561,Lawrence Browning,Nicholas Cascone,Alicia Coppola,Michael Cudlitz,Tim DeKay,Anthony Michael Jones,Ian Kahn,Brian Palermo,Tia Texada,Kathleen Wilhoite
tt0291542,Julie-Marie Parmentier,Stéphane Rideau,Carmen Maura,Nathalie Richard,Patrick Chesnais,Tom Novembre,Ariane Ascaride,Anthéa Cintract,Julie Vettesse,Marie Vettesse
tt0293007,Enrique Diaz,Wagner Moura,Caio Blat,Luiz Carlos Vasconcelos,Milton Gonçalves,Ivan de Almeida,Ailton Graça,Maria Luísa Mendonça,Aida Leiner,Rodrigo Santoro
tt0294595,Zul Huzaimy,Along Eyzendy,Hariry Jalil,Sofi Jikan,,,,,,
tt0294357,Clive Owen,Angelina Jolie,Linus Roache,Teri Polo,Noah Emmerich,Yorick van Wageningen,Timothy West,Kate Trotter,Jonathan Higgins,John Gausden
tt0293672,Philippe Noiret,Michel Bouquet,Farida Rahouadj,Catherine Hiegel,Hammou Graïa,Axelle Abbadie,Anne Suarez,Jérôme Hardelay,Jean-Jérôme Esposito,Luc Palun
tt0295565,Ky Evans,Haris Giakoumatos,Tamilla Koulieva,Maria Maestas McCann,Terry Maratos,Roni Meron,Nikolette Orlandou,Ioanna Pappa,Anthony Pertesis,Akis Sakellariou
tt0295182,Ken Boynton,Brett Paesel,Debra Pralle,Mark Byrnes,Bruce Bagby,Ken Ballenger,Joshua Feinman,Daniel Grossbard,Michael E. Hatcher,Zach Hoffman
tt0296618,François Berléand,Jérémie Renier,Claire Keim,Isabelle Roelandt,Hubert Saint-Macary,Nicky Marbot,Jean-Noël Brouté,Michel Scotto di Carlo,Bouli Lanners,Stéphane Boucher
tt0298131,Katja Riemann,Maria Schrader,Svea Lohde,Jutta Lampe,Doris Schade,Jürgen Vogel,Martin Feifel,Fedja van Huêt,Carola Regnier,Plien van Bennekom
tt0296245,Mario Caniglia,Carlos Karlos,Giovanni Caniglia,Thierry Drezen,Eugenio Garcia,Olivier Sherrens,Yves Legrand,Areski Chabane,Patrick Deknuydt,Pascal Prudhomme
tt0295838,Leslie Phillips,Kate Ashfield,Aden Gillett,Imogen Stubbs,Daniel Lapaine,Jessica Brooks,Stewart Howson,Alison Limerick,Roderick O'Grady,Chris Obi
tt0297853,Jaason Simmons,Bryan Carney,Juliet Diamond,Kerry Norton,Noel Fitzpatrick,Richard Norton,David Rae,Rory McCann,Heather Peace,Jamie Bamber
tt0296587,Sophie Museur,Francis Renaud,Ulysse de Swaef,Alexis Den Doncker,Colette Emmanuelle,Bouli Lanners,Premi Djou Dfosse,Jean-Christophe Lefèvre,Jean-Luc Dossi,Maxime Durin
tt0297871,Wotan Wilke Möhring,Julia Hummer,Antoine Monot Jr.,Alexander Beyer,Janek Rieke,Doris Schretzmayer,Götz Schubert,Fatih Cevikkollu,Marie Gruber,Thomas Thieme
tt0298125,José Luis Alfonzo,Sonia Amesua,Emilio Bardi,Carlos Alfonso Chalau,Ezequiel Cipols,Lito Cruz,Gustavo Ferrari,Rina Gliseles,Manuel Longueira,Enrique Lourenco
tt0298082,Marie Gillain,Vincent Elbaz,Simon Abkarian,Dimitri Storoge,Zinedine Soualem,Natacha Lindinger,Jocelyn Lagarrigue,Pierre-Ange Le Pogam,Diane Kruger,Thierry Levaret
tt0299868,JR Bourne,Michèle-Barbara Pelletier,Cary Lawrence,Sabine Karsenti,Daniel Brochu,Vikki Walker,Catlin Foster,Ashley Lang,Wyatt Bowen,Bronwen Mantel
tt0299458,Zooey Deschanel,Paul Schneider,Patricia Clarkson,Shea Whigham,Danny McBride,Maurice Compte,Heather McComb,Benjamin Mouton,John Kirkland,James Marshall Case
tt0300015,Romola Garai,Rose Byrne,Bill Nighy,Sophie Stuckey,Helena Little,Florence Jones,Harrison Ward,Tara Fitzgerald,Joe Sowerbutts,Henry Cavill
tt0300069,Randy Quaid,Will Rothhaar,Jennifer Wigmore,David Gallagher,Amanda de Martinis,Joe Dinicol,Jordan Conti,Johnny Griffin,Steve Adams,Philip Spensley
tt0301357,Daniel Brühl,Katrin Sass,Chulpan Khamatova,Florian Lukas,Maria Simon,Alexander Beyer,Burghart Klaußner,Michael Gwisdek,Christine Schorn,Jürgen Holtz
tt0301777,Tamlyn Tomita,James Saito,Vin Knight,Gina Quintos,Karen Tsen Lee,Glenn Kubota,Norma Fire,T. Lynn Eanes,Joshua Spafford,Catherine Carota
tt0301989,Radha Mitchell,Susannah York,Ray Barrett,Dominic Purcell,Tottie Goldsmith,Che Timmins,Christopher Kirby,Jan Friedl,Soula Alexander,Roberta Connelly
tt0301181,Gabrielle Union,LL Cool J,Essence Atkins,Duane Martin,Robinne Lee,Meagan Good,Mel Jackson,Dartanyan Edmonds,Kym Whitley,Royale Watkins
tt0302018,Zoska Aleece,Nicole Areu,Randy Danner,Angelito Felix,Marcelino Miguel Garcia,Nicolas Garcia,Karen Garvey,Darrel Guilbeau,Michael Jaworski,Ted King
tt0302361,Nick Stahl,Johnny Galecki,Lukas Haas,Rachael Leigh Cook,David Proval,John Diehl,Julio Oscar Mechoso,Zuri Williams,Dwight Armstrong,Steve Hudson
tt0302566,Rena Lesnar,Kira Reed Lorsch,Eva Decastelo,Noel le Bon,Predrag Bjelac,Michael Rogers,Vladimirá Kopalová,Lenka Odvarek,Jaroslava Halas,Andrea Fryk
tt0301360,Götz George,Markus Knüfken,Bastian Trost,Andreas Guenther,Barbara M. Ahren,Janna Striebeck,Bernd Tauber,Michael Lott,Thomas Arnold,Günter Spörrle
tt0301976,Ryan Gosling,Don Cheadle,Kevin Spacey,Chris Klein,Jena Malone,Lena Olin,Michelle Williams,Martin Donovan,Ann Magnuson,Kerry Washington
tt0301604,Diego Mackenzie,Daniel Ritto,Divina Gloria,Geniol,Juan Carlos Casas,Oscar Canto Mansilla,Horacio Labraña,María Maratea,Alejandro Musso,Laura Pedroso
tt0301744,Alec Newman,Marc Warren,Sienna Guillory,Lara Clifton,Alexander Popplewell,Julian Barratt,Gwyn Hollis,Tommy Yates,Colin Nutton,Kelli Hollis
tt0301730,Vincent Perez,Guillaume Depardieu,Clara Bellar,Laurent Gamelon,Pascal Légitimus,Alain MacMoy,Alice Taglioni,Edgar Givry,Mathieu Delarive,Atmen Kelif
tt0302436,Tim Roth,Dougray Scott,Olivia Williams,James Bolam,Corin Redgrave,Finbar Lynch,Julian Rhind-Tutt,Adrian Scarborough,Jeremy Swift,Rupert Everett
tt0303830,Daryl Hannah,Maggie Gyllenhaal,Mary Steenburgen,Lili Taylor,Angelina Peláez,Lizzie Curry Martinez,Vanessa Martinez,Amanda Álvarez,Said Martinez,Abel Salas
tt0302713,Lisa Lindgren,Magnus Krepper,Eric Lager,Linus Nord,Ebba Wickman,Irma Erixson,Mirja Turestedt,Andre Holmdahl,Adin Jasarevic,
tt0303758,Erika Eleniak,Adam Baldwin,Julie du Page,Jer Adrianne Lelliott,James Remar,Damian Chapa,Louis Mandylor,Tom Wright,James Quattrochi,Jason Widener
tt0304897,Yann Goven,Catherine Buquen,Véra Briole,Jean-Louis Richard,Pierre Hiessler,Mostefa Djadjam,Laurent Vercelletto,Alain Umhauer,Jean-Paul Zehnacker,Pierre Gérald
tt0304328,Billy Bob Thornton,Morgan Freeman,Kirsten Dunst,Holly Hunter,Manuel Aranguiz,Geoffrey Wigdor,Luke Robertson,Dorian Harewood,Catherine Colvey,Billoah Greene
