tt0118141,Michael Blevis,Carlos Richardson,Lisa Fusco,Steven C. Stewart,Crispin Glover,John Insinna,Kelly Swiderski,Robin Adams,Adam Parfrey,Rikky Wittman
tt0369053,Tom Wilkinson,Emily Watson,Hermione Norris,John Warnaby,Rupert Everett,Richenda Carey,Linda Bassett,Christine Lohr,Alice O'Connell,John Neville
tt0369258,Vlado Jovanovski,Adolfo Margiotta,Zvezda Angelovska,Branko Djuric,Antonella Troise,Jelisaveta 'Seka' Sablic,Toni Mihajlovski,Emil Ruben,Miodrag Krivokapic,Petre Arsovski
tt0371405,Corey Large,Jennifer O'Dell,Luke Flynn,Luke Kirby,Paul Johansson,Tom Lenk,Melissa Schuman,Alexandra Holden,Carly Pope,James Duval
tt0372799,Linda Artuso,Candice Azzara,Charisse Bellante,Mario Bosco,Tracey Brennan,Bern Cohen,Kelvin Davis,Vinny De Vingo,Jesus A. Del Rosario Jr.,Tony Devon
tt0371572,Omar Muñoz,Santiago Pasaglia,Eva Pont,Norberto Morán,Hugo Mesa,Esperanza De la Vega,Patrick Gordon,Charlotte Salt,Antonio Portillo,Pilar Soto
tt0371257,Ewan McGregor,Naomi Watts,Ryan Gosling,Kate Burton,Elizabeth Reaser,Bob Hoskins,Janeane Garofalo,BD Wong,John Tormey,José Ramón Rosario
tt0372122,Craig Chester,Malcolm Gets,Parker Posey,Chris Kattan,Cary Curran,Noah Segan,Sally Kirkland,Jackie Beat,Mario Diaz,Lisa Frederickson
tt0372346,Matt Farnsworth,Diane Foster,John Savage,Rosanna Arquette,Michael T. Weiss,David Backus,Amanda Tepe,William Wayne,Mickey Jones,John Tracy
tt0371853,Aníta Briem,Belén Blanco,Manu Fullola,Alistair Freeland,Cristina Piaget,Paulina Gálvez,Natalia Dicenta,Lola Marceli,Teté Delgado,Oriana Bonet
tt0372784,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,Katie Holmes,Gary Oldman,Cillian Murphy,Tom Wilkinson,Rutger Hauer,Linus Roache
tt0371739,Justin Chambers,Robin Tunney,Rory Culkin,William Mapother,Brad William Henke,Rex Linn,Philip Baker Hall,Marty Lindsey,Brian Bloom,Shelby Alexis Irey
tt0371212,Jason Behr,Sarah Wynter,Dominic Monaghan,Joshua Leonard,Polly Draper,Ally Sheedy,Jay O. Sanders,Keith Perry,Gail Goldkamp Bagley,David Dinkins
tt0372942,Kyle Ingleman,Kate Clarke,Shyla Lefner,Linda Borini,Jill Campanella,Larry Dirk,Christopher John Fetherolf,Matt Godecker,Carlos Andres Gutierrez,Darbi Gwynn
tt0373450,Kevin Bacon,Colin Firth,Alison Lohman,David Hayman,Rachel Blanchard,Maury Chaykin,Sonja Bennett,Kristin Adams,Deborah Grover,Beau Starr
tt0373760,João Miguel,Peter Ketnath,Madalena Accioly,Jeane Alves,Veronica Cavalcanti,Jorge Clésio,Daniela Câmara,Lúcia do Acordeon,Jan Doblado,Mano Fialho
tt0373445,Luke Wilson,Eva Mendes,Seymour Cassel,Jacob Vargas,Owen Wilson,Harry Dean Stanton,Kris Kristofferson,Eddie Griffin,Will Ferrell,Angela Alvarado
tt0373416,Hugh Bonneville,Shawn Ashmore,Kelly Hu,Nick Cannon,Adrian Young,Art Bonilla,Bart McCarthy,Ian Gomez,Cheech Marin,Ryan Beil
tt0373747,Fernanda Montenegro,Fernanda Torres,Ruy Guerra,Seu Jorge,Stênio Garcia,Luiz Melodia,Enrique Diaz,Emiliano Queiroz,João Acaiabe,Camilla Facundes
tt0374089,Kuno Becker,Jason Scott Lee,Jay Hernandez,Doskhan Zholzhaksynov,Ayanat Ksenbai,Mark Dacascos,Ashir Chokubayev,Zhanas Iskakov,Almaikhan Kenzhebekova,Tungyshpai Zhamankulov
tt0374298,Egor Beroev,Olga Krasko,Marat Basharov,Vladimir Ilin,Dmitriy Pevtsov,Viktor Verzhbitskiy,Aleksandr Baluev,Aleksey Guskov,Gosha Kutsenko,Andrey Krasko
tt0375008,Arthur J. Nascarella,Christian Maelen,Jon Doscher,Frank Vincent,Vincent Pastore,Chuck Zito,Rick Aiello,Ace Frehley,Kelly Michaels,Nicholas Reiner
tt0376181,Harvey Keitel,Claire Forlani,Giancarlo Giannini,Joshua Jackson,John Rhys-Davies,Armando Pucci,Valeria Cavalli,Silvia De Santis,Bianca Guaccero,Ken Drury
tt0374826,Scott Thomas,Earl Poitier,Adrian Paul,Josh Smith,Sarah Clements,Chris Coppola,Trieste Kelly Dunn,Dale Girard,Joyce Mahaffey,Maceo Oliver
tt0376127,Vikram,Sada,Prakash Raj,Vivek,Nedumudi Venu,Nassar,Kalabhavan Mani,Cochin Hanifa,Saurabh Shukla,Charlie
