tt0332136,Jennifer Love Hewitt,Paul Nicholls,Tom Wilkinson,Diana Hardcastle,Lucy Davenport,Roy Sampson,Kevin Moore,Neville Phillips,Ben Ridgeway,Teo-Wa Vuong
tt0330541,Regina Lund,Jan Mybrand,Bert-Åke Varg,Kim Anderzon,Themba Tainton,Maj-Brith Bergström-Walan,Katerina Janouch,Arne Weise,Emma Åberg,Helena Lindblom
tt0330539,Marie Vinck,Fedja van Huêt,Jan Decleir,Hilde Van Mieghem,Ides Meire,Veerle Baetens,Josse De Pauw,Zakaria Bchiri,Marc Bogaerts,Leonie Borgs
tt0330474,Rim Turki,Princess Erika,Akéla Sagna,Laurent Labasse,Thierno Ndiaye Doss,Kader Diarra,Oubri G. Gbati,Nicaise Ndodine,Marie Avril,Omar Seck
tt0331370,Andrés Pazos,Mirella Pascual,Jorge Bolani,José Pedro Bujaruz,Verónica Perrotta,Mariana Velazques,Fernando Pereyra,Nacho Mendy,Jorge Temponi,Antonio Baldomir
tt0330175,Jena Malone,Pamela Gray,Peter McRobbie,Jamie Harrold,John Hartmann,Libby Langdon,Danielle Melanie Brown,Gregory Russell Cook,Brian Dykstra,Frank Fata
tt0332452,Brad Pitt,Eric Bana,Orlando Bloom,Julian Glover,Brian Cox,Nathan Jones,Adoni Maropis,Jacob Smith,John Shrapnel,Brendan Gleeson
tt0330582,Angela Bettis,Kevin Ford,Belinda Becker,Tariq Trotter,Esther Canata,Will Keenan,Drea de Matteo,Dean Winters,David Vadim,
tt0332375,Jena Malone,Mandy Moore,Macaulay Culkin,Patrick Fugit,Heather Matarazzo,Eva Amurri,Chad Faust,Elizabeth Thai,Martin Donovan,Mary-Louise Parker
tt0332280,Gena Rowlands,James Garner,Rachel McAdams,Ryan Gosling,Tim Ivey,Starletta DuPois,Anthony-Michael Q. Thomas,Ed Grady,Renée Amber,Jennifer Echols
tt0331952,Robert Redford,Willem Dafoe,Helen Mirren,Alessandro Nivola,Matt Craven,Melissa Sagemiller,Wendy Crewson,Larry Pine,Diana Scarwid,Elizabeth Ruscio
tt0333766,Zach Braff,Peter Sarsgaard,Natalie Portman,Ian Holm,Kenneth Graymez,George C. Wolfe,Austin Lysy,Gary Gilbert,Jill Flint,Alex Burns
tt0334025,Anouk Grinberg,Michel Galabru,Daniel Russo,Nicole Calfan,Claire Maurier,Thierry Hancisse,Olivier Nilson,Marie Denarnaud,Didier Bezace,Daniel Colas
tt0333874,Ivan Volaric-Feo,Rados Bolcina,Peter Musevski,Silvester Bozic,Mira Lampe Vujicic,Vojko Zidar,Davor Janjic,Rosana Hribar,Blaz Valic,Matjaz Javsnik
