0,1,2,3
tt4020692,Jane and the House of Miracles,"6,4",2016
tt4023854,Evol,"6,6",2018
tt4024490,Dark Show,"5,4",2016
tt4024814,Fucking Berlin,"5,2",2016
tt4030352,Killing Lazarus,"7,0",2016
tt4027504,Lazy Eye,"6,4",2016
tt4030560,Little Mermaid,"4,1",2016
tt4034354,Swiss Army Man,"6,9",2016
tt4034208,La propera pell,"6,1",2016
tt4033646,Certified Dead,"4,6",2016
tt4033832,Leave Yourself Alone,"8,8",2016
tt4034228,Manchester by the Sea,"7,8",2017
tt4038806,Stray Bullets,"4,2",2016
tt4041916,Ditch Party,"4,3",2016
tt4043502,Wichita,"5,0",2016
tt4042994,Sekai kara neko ga kietanara,"6,8",2016
tt4047846,Home,"7,1",2017
tt4048272,Toni Erdmann,"7,3",2016
tt4052882,The Shallows,"6,3",2016
tt4054936,Kaul,"7,6",2016
tt4057758,Renaissance,NO DATA,2016
tt4058012,96 Souls,"6,0",2017
tt4061196,Until Forever,"6,2",2016
tt4061424,Funeral Day,"5,9",2016
tt4058298,A Reason to Leave,"6,8",2016
tt4058910,Romeo's Distress,"5,3",2016
tt4059022,Olovne Godine,"7,6",2016
tt4059702,AmeriGeddon,"3,8",2016
tt4061944,Te Ata,"7,4",2017
tt4062756,South of 8,"6,0",2018
tt4062896,Rodeo Girl,"4,8",2018
tt4063178,The Dog Lover,"5,4",2016
tt4065094,Vive por mí,"5,1",2016
tt4067192,Unreal Estate,NO DATA,2016
tt4067106,According to Ben Adams,"6,0",2016
tt4066836,Miles,"5,7",2017
tt4068026,Manual de principiantes para ser presidente,"3,4",2016
tt4071086,Wild,"6,4",2016
tt4072742,In View,"7,3",2016
tt4068586,Year by the Sea,"5,5",2017
tt4072326,Ali and Nino,"6,8",2016
tt4074364,The Model,"5,8",2016
tt4074928,Realive,"5,9",2017
tt4074472,30 Days with My Brother,"6,8",2016
tt4074452,El manuscrito Vindel,"7,2",2016
tt4075458,Beyond Sleep,"6,1",2016
tt4076638,Somewhere We Lived,"6,3",2016
tt4076350,After the Curtain,NO DATA,2016
tt4078794,Adventures of Miss Fit,"8,9",2016
tt4076344,Feast of the Body,"3,6",2016
tt4079902,Hooligan Sparrow,"7,3",2017
tt4078162,Monochrome,"5,0",2017
tt4077570,Deckname Holec,"5,9",2016
tt4082640,Reministsentsiya,"7,5",2016
tt4076934,Wo de te gong ye ye,"5,9",2016
tt4078252,City of Joy,"7,6",2018
tt4083052,The Vessel,"5,4",2016
tt4079332,The Death and Life of Otto Bloom,"6,3",2017
tt4083496,Man in a Cage,NO DATA,2016
tt4082524,Chosen,"5,3",2020
tt4082606,Healing Voices,"9,2",2016
tt4085066,Road to the Well,"5,8",2016
tt4087570,Forgetting Sandy Glass,NO DATA,2016
tt4087936,Atras,NO DATA,2016
tt4088268,Flaskepost fra P,"7,0",2016
tt4089840,The Vigilante,"6,9",2016
tt4094258,Watching the Dark,NO DATA,2016
tt4093962,Carpe Kilimanjaro: An Alzheimer's Project,"8,2",2016
tt4093896,Chasing the Light,"5,4",2016
tt4096750,The Binding,"3,7",2016
tt4094142,Living Off the Manhole (and the Poetry of Real Estate),NO DATA,2016
tt4102800,Coração Atlântico,"8,2",2016
tt4103394,Victor's Last Class,"8,3",2016
tt4104186,Esa era Dania,"5,6",2016
tt4105998,The Harvest Run,NO DATA,2016
tt4107028,Khange Tha Game,"8,3",2016
tt4104354,Caged No More,"5,5",2016
tt4108914,Tangled Web,"8,0",2016
tt4111044,Show Business,"6,5",2016
tt4109998,The Lessee,"5,3",2016
tt4111958,End of Fall,"6,4",2017
tt4110782,Il vincente,"6,3",2016
tt4109268,Asperger's Are Us,"6,6",2016
tt4110208,Due euro l'ora,"5,6",2016
tt4113846,Delusion,"4,3",2016
tt4113916,Best Friends Recycled,"4,2",2016
tt4116388,Ava's Impossible Things,"3,8",2016
tt4115720,"Porto il velo, adoro i Queen",NO DATA,2016
tt4118366,Crave: The Fast Life,"6,9",2018
tt4119044,Dusky Paradise,"6,3",2016
tt4120176,L'avenir,"6,9",2016
