tt0259134,Richard Berry,Patrick Bouchitey,Barbara Schulz,Marie Trintignant,Frédéric van den Driessche,Marc Chapiteau,Maxime Leroux,Hervé Bellon,Philippe Cotten,Emmanuel Curtil
tt0258816,Willem Dafoe,Paul Bettany,Marián Aguilera,Trevor Steedman,Simon McBurney,Tom Hardy,Brian Cox,Gina McKee,Stuart Wells,Vincent Cassel
tt0260325,His Majesty Birendra Bir Bikram Sha Dev,The Dalai Lama,Martin Maria Abram,Toni Hagen,Jayananda Lama,Sonia Mehta,,,,
tt0260695,Terry O'Quinn,Lacey Chabert,Nick Cornish,Kirk B.R. Woller,Ian Bohen,Mary Pat Gleason,Mark McLachlan,Matt Blackwell,Greg Bond,Steve Cluck
tt0260185,Jean-Paul Roussillon,Jean-François Stévenin,Rona Hartner,Salomé Stévenin,Pierre Stévenin,Jean-Paul Bonnaire,Yves Afonso,Claire Stévenin,Elisabeth Depardieu,Patrick Grandperret
tt0260924,Mason Gamble,Gary Sinise,Philip Baker Hall,Dylan Baker,Henry Simmons,Ellen Muth,Brian Doyle-Murray,David Zayas,Kevin Thoms,Michael Della Femina
tt0262396,John Leguizamo,Peter Sarsgaard,Denise Richards,Vincent Laresca,Isabella Rossellini,Sonia Braga,Delilah Cotto,Nestor Serrano,Anthony 'Treach' Criss,Rafael Báez
tt0263017,Jairo Camargo,Alina Lozano,Patricia Maldonado,Gilberto Ramirez,Paola Rey,Manuel José Chaves,Diego Vásquez,Susana Torres,Julio Escallon,Jörg Hiller
tt0264472,Ben Affleck,Samuel L. Jackson,Kim Staunton,Toni Collette,Sydney Pollack,Tina Sloan,Richard Jenkins,Akil Walker,Cole Hawkins,Ileen Getz
tt0264571,Fernando Tielve,Aida Folch,Ariadna Gil,Fernando Fernán Gómez,Eduard Fernández,Antonio Resines,Rosa Maria Sardà,Jorge Sanz,Juan José Ballesta,Cristina Dilla
tt0263761,Diane Ladd,Pamela Bach-Hasselhoff,Craig Benton,Jim Petersmith,Hollis McCarthy,Kyla Pratt,Nathan Hutchings,Allan Kayser,Jeanne Averill,Walter Coppage
tt0264689,Busy Philipps,Erika Christensen,Victor Garber,Raphael Sbarge,Ken Jenkins,Holland Taylor,Arthur Taxier,James Pickens Jr.,Constance Zimmer,Richard Gilliland
tt0265864,John Paul Pitoc,Christian Campbell,Jay Leggett,Scott Burkhardt,Matthew Bordofsky,Brien Blakely,Roger Callard,Bret Domrose,Sally Kirkland,Mark Hamill
tt0265349,Richard Gere,Laura Linney,David Eigenberg,Bob Tracey,Ron Emanuel,Debra Messing,Tom Stoviak,Yvonne Erickson,Scott Nunnally,Harris Mackenzie
