0,1,2,3
tt2032572,USS Indianapolis: Men of Courage,"5,3",17
tt2044760,Culling Hens,"7,0",7
tt2056704,ProGamer,"6,0",NO DATA
tt2089664,Drawing Home,"5,9",NO DATA
tt2093174,Living Lost,"8,9",NO DATA
tt2094195,Woven,"4,8",71
tt2100641,The Deserted,NO DATA,79
tt2101347,When Elephants Were Young,"7,2",NO DATA
tt2106616,Dead South,"2,9",NO DATA
tt2106712,Salt Water,"4,3",NO DATA
tt2112971,In the Pines,NO DATA,78
tt2112902,Bastard Son of a Thousand Fathers,"7,2",NO DATA
tt2119532,Hacksaw Ridge,"8,1",84
tt2126284,Envisage,"5,9",NO DATA
tt2128522,Pinochet Boys,"3,9",NO DATA
tt2132321,Eden,"5,6",83
tt2137241,Rock On 2,"4,9",30
tt2170427,Good Kids,"6,1",33
tt2172402,A Remarkable Life,"4,7",NO DATA
tt2179191,After the Rain,"5,7",NO DATA
tt2181967,Hunting in Wartime,NO DATA,NO DATA
tt2184296,Nailed Down,"4,6",83
tt2186691,Apofenija,"6,3",NO DATA
tt2186712,Long Nights Short Mornings,"5,4",42
tt2197278,Mobster: A Call for the New Order,"7,7",88
tt2197926,La 4ª Compañía,"6,2",NO DATA
tt2204936,Heaven Is Now,NO DATA,94
tt2207112,La route d'Istanbul,"6,2",NO DATA
tt2209356,Picnic in Gaza,"4,8",NO DATA
tt2212778,When the Starlight Ends,"5,5",NO DATA
tt2215655,The Umbrella,"6,5",NO DATA
tt2241351,Money Monster,"6,5",59
tt2245924,Sharia,"6,7",58
tt2249039,Soy Nero,NO DATA,50
tt2248665,Across the River,"6,9",NO DATA
tt2251106,A Devil's Game,"6,0",NO DATA
tt2256570,Vilsen,"4,1",NO DATA
tt2255893,Morality,"8,3",NO DATA
tt2259122,Love Is All You Need?,"6,1",57
tt2260254,The Other Side of the Mirror,"2,1",NO DATA
tt2262315,The Good Neighbor,"6,3",32
tt2259968,Piloto,"8,4",NO DATA
tt2262518,Spaceman,"5,2",NO DATA
tt2265431,Me You and Five Bucks,"5,6",NO DATA
tt2265631,To Our Bright White Hearts,"9,1",NO DATA
tt2268018,Neron,"2,5",NO DATA
tt2270456,Hedda Gabler,"4,6",NO DATA
tt2273706,Mobster: The Prelude,NO DATA,NO DATA
tt2275702,Nimnayaka Hudakalawa,"8,4",39
tt2278870,ISRA 88,"3,6",NO DATA
tt2288107,The Screenwriters,"6,2",89
tt2298976,Mobster: The Dawn,NO DATA,59
tt2315582,Una,"6,2",76
